Title,Abstract,Methods,Data source,Conclusion
DARK LAW ON THE SOUTH CHINA SEA,"In Democracies and International Law, Tom Ginsburg warns of an emerging post-liberal order influenced by powerful authoritarian regimes and new illiberal laws that repurpose global rights, undermine international courts, and expand executive power. Autocrats and kleptocrats embedded in the global economy increasingly appear to use international law to preserve their power, protect norms of non-intervention, and enhance the global stability of autocratic rule. Legalistic autocrats, for example, exploit judicial deference and vague statutory language in national security laws to circumvent checks on their authority. This process, which I call “dark law,” aids in the consolidation of state power and the global entrenchment of authoritarianism. In this Essay, I argue that dark law also contributes to the construction of authoritarian international law. Conflicts in the South China Sea illustrate how authoritarian regimes use law to pursue illiberal ends. By disregarding multilateral treaty obligations, resisting third-party adjudication, and repurposing national security laws, authoritarian states sabotage maritime norms and principles. International dark law makes global waterways more dangerous for sailors and fishing communities, undermines international cooperation on marine protection, and threatens maritime accountability and ocean governance. Future protection of oceans and seas depends on state compliance with international law and the effectiveness of multilateral enforcement.",Legal analysis,,"This Essay argues that authoritarian regimes leverage statutory vagueness in domestic security laws to evade international legal obligations and, through this process, contribute to the normative development of authoritarian international law. I advance the concept of dark law as a relational framework for interpreting conflict in the South China Sea and as a way to understand how national security law can erode democratic norms and institutions, both in domestic and international contexts. Legalistic autocrats wield ill-defined statutes in efforts to entrench legal terms and ideas that will buttress authoritarianism in the international system. Conflicts in the South China Sea reveal how Chinese authorities have strategically repurposed domestic laws to undermine UNCLOS. In recent decades, China has emerged as global power and a legalistic state.99 President Xi and the Communist Party appear increasingly willing to employ law to strengthen regime legitimacy. It is vital that the international law community acknowledge and work to limit the development of authoritarian international law.
The question of how to limit authoritarian entrenchment in international law, of course, demands context. Regarding conflicts in the South China Sea, I offer a few modest suggestions. A binding code of conduct for coastal states promises stability that could serve all claimant parties. Strengthening UNCLOS enforcement offers another mechanism to encourage state compliance. Countries and international institutions can do much more to promote multilateralism in maritime governance. Continued failed governance and protection of the world's oceans and seas will have dire consequences for coastal communities and marine ecosystems. Long overdue are a new generation of international agreements that will protect biodiversity beyond national jurisdictions and establish a meaningful system for oceanic accountability."
BARRIERS TO CRIMINAL ENFORCEMENT AGAINST COUNTERFEITING IN CHINA,"Multinational companies (MNCs) with valuable trademarks in China seek criminal enforcement against counterfeiting because other available avenues of relief, such as administrative and judicial remedies, have proven to be ineffective. While MNCs prefer enforcement through China's Police, the Public Security Bureau (PSB), many MNCs are unaware of the significant hidden dangers of using the PSB.
Most MNCs will delegate enforcement of trademark rights to their Chinese subsidiaries. These subsidiaries are known to make illegal payments to the PSB that may violate the laws of the PRC as well as the United States Foreign Corrupt Practices Act (FCPA). These acts expose MNCs to draconian penalties under PRC law and the FCPA. MNCs can be unaware of these illegal practices because many MNCs organize their business structures and intellectual property (IP) management strategies in ways that shield MNCs from reviewing some of the on-the-ground actions by their Chinese subsidiaries. This Article exposes these risks, explains how some of these risks arise, and makes suggestions on how MNCs can structure their business organizations and IP management structures in China to eliminate or mitigate these risks.",Legal analysis,,"MNCs that rely upon their Chinese subsidiaries to bring criminal enforcement actions against the counterfeiting of their trademark rights may be exposed to risks of which they are unaware. For a number of reasons explained above, the Chinese subsidiary may make payments to the PSB without the knowledge of the MNC. The purpose of this Article is to expose these risks and the conditions that encourage and magnify them. While some of these risks arise purely under the local laws of the PRC, other risks arise under the FCPA and *673 other foreign anti-bribery laws. The risks that such payments can occur without the knowledge of the MNC are highest when its Chinese subsidiary serves as the registered owner of the MNC's trademarks in China. MNCs that allow their subsidiaries to be the registered owner of trademarks in China may be unaware of the risks to which this practice will expose them. This Article has argued that the MNC should always register all important trademarks in its own name and license them to its Chinese subsidiaries. This approach is more complicated and costly than simply allowing the Chinese subsidiary to register the trademarks, but it also mitigates the risks created by the latter approach. Careful advanced planning in accordance with the suggestions set forth in this Article and continuing vigilance by US-based MNCs can eliminate or mitigate many of the dangers lurking in the criminal enforcement against counterfeiting in China."
INTERNATIONAL RECENT DEVELOPMENTS: CHINA 2021,"This Article provides an overview of the significant decisions of the Chinese courts, in particular the Supreme People's Court of China in 2021. It provides readers with insight into the judicial practice of maritime law over this period in Mainland China. The judgments relate to carriage of goods by sea, marine insurance, and other maritime matters. The source of these Chinese judgments is the database of China Judgement Online. In 2021, Chinese courts have delivered and published 5,054 maritime judgments in Chinese Judgments Online, 87 of which are from the Supreme People's Court.1 The number of judgements from both Chinese courts and the Supreme People's Court in 2021 is about half the number of judgements in 2020.2 It is believed that the decrease in the number of cases is caused by the ongoing global pandemic of COVID-19.",Legal analysis,,
THE IMPACT OF GEO-ECONOMIC RIVALRY ON U.S. ECONOMIC GOVERNANCE: WILL THE UNITED STATES INCORPORATE ASPECTS OF CHINA'S STATE-CENTRIC GOVERNANCE?,"China's corporate governance model emphasizes an extensive governmental role in the construction of economic markets. The paradigm consists of an economic-political syndicate of collaborative actors creating profit but whose critical core mission is to advance state objectives as defined by the ruling authority, the CCP. Economic interests thus serve political interests pursuant to a template of state direction and partnership with the private sector encompassing share ownership; industrial policies; governmental representatives embedded in the private sector; and discipline imposed for failing to comply with syndicate rules. The model has empowered China to narrow the once substantial leads enjoyed by the U.S. with respect to economic, technological, and military power. Although the United States has alleged that China's model is unfair and has endeavored to have China de-emphasize its model and move towards the U.S. model of market-capitalism, these efforts have been unsuccessful. Significantly, competitive pressures and national security interests may force the U.S. to embrace one or more aspects of China's economic model. The impetus for doing so is not merely driven by U.S. governmental concerns over China; indeed, some U.S. business leaders have called for a similar role for the U.S. government in order to successfully compete with the Chinese private-sector, let alone State-linked entities. Whether out of competitive pressures or the allure of success, incorporating aspects of China's model is an increasing possibility with significant potential impacts on U.S. corporate governance. This article discusses the drivers militating toward U.S. incorporation of aspects of China's governance model as well as the potential ramifications on U.S. governance.
",Legal analysis,,"While the United States remains the number one economic power, China is a serious and powerful challenger. The Chinese model presents a real difficulty for U.S. governance; without similar industrial policies and state-backing, U.S. firms face a severe competitive disadvantage. Unless China's trajectory changes, China's governance will continue to present both competitive pressures and attractive features militating towards U.S incorporation of aspects of Chinese governance. Such measures might encompass U.S. purchasing of shares (both of domestic and of foreign corporations), subsidies, preferential loans, and industrial policies to provide advantages to national champions. Doing so translates into heightened economic nationalism, acquisitions of strategic corporations to give the U.S. government a dominant or controlling interest, and policies enabling U.S. private and state-linked firms to compete with their Chinese counterparts. While not classic “shareholder-value,” China's model is not classic stakeholder as there is only one real objective other than shareholder-value: to advance the goals established by the state. For portfolio companies, China's economic model is in effect shareholder-value, but the ordinary shareholder is replaced by the “sovereign.” While traditional corporate governance conflicts of interest, as in any corporation with dominant or controlling shareholders, will exist--sovereign controllers are fundamentally different from private controllers. Problems of corruption, excessive debt, and unprofitable state-linked economic actors appear extensively, and Chinese officials admit that reforms are required.
The U.S. national interest clearly is in avoiding such problems. However, just as China's economic interests serve its political domain, U.S. economic interests might be trumped by national security interests leading to incorporation of tenets of China's model, with enormous implications for U.S. corporate governance. U.S. market capitalism has worked for the U.S. However, the U.S. is now facing a longer-term hegemonic rivalry that might require incorporating a state-centric model to compete with China to slow the narrowing of the gap between the U.S. and China and to reverse the trend. Securing the crown of hegemony will likely obligate the U.S. to imitate some degree of China's model. There will likely be a trade-off of some additional inefficiencies. But the heightened inefficiency risk may be viewed as the required temporary price to compete with a model which is not constrained by government strictures in the same fashion as U.S. involvement in the aftermath of the subprime crisis was seen as urgent but temporary. Doing so will have enormous implications for U.S. corporate governance. U.S. adaptation of China's model may be more of a temporary measure as opposed to a long-term model. But it could still have adverse effects during the time the U.S. government has a dominant or controlling interest."
DO SPECIALIZED INTELLECTUAL PROPERTY COURTS SHOW A PRO-PATENT PROPENSITY? EVIDENCE FROM CHINA,"Intellectual property (IP) is gaining increasing attention in various fields. However, its proper function relies on an effective judicial system. Thus, we compared the results of patent infringement litigations in China between specialized IP courts and general courts. We found that patent holders sue for higher damages at IP courts than in general courts, and IP courts grant higher damages. However, when we controlled the impacts of certain factors, we found that the IP courts do not demonstrate a pro-patent propensity in their judgments. Furthermore, IP courts have not shown significant advantages in their judgments in aspects of speed, the rate of appeals, and the avoidance of mistakes. We also found that litigious plaintiffs are, to some degree, disliked by the courts. This work provides an empirical understanding of the latest situation about patent protection in China and discusses its practical implications.",Dataset analysis (regression),"PKULAW, QICHACHA","We investigated the operation of specialized IP courts in China, which has become an important part of the IP judicial system. More specifically, we compared the judgments of patent litigations between specialized IP courts and general courts. Our work provides empirical understandings about the latest update on IP protection in China. We found that patent holders request more damages when they institute their cases in IP courts than in general courts, and IP courts grant more damages to the plaintiffs. However, IP courts did not show a pro-patent propensity in their judgments after we controlled the impacts of other factors. On the contrary, the general court in Shenzhen is making more favorable judgments to patent holders than IP courts in Beijing and Shanghai. We also found that IP courts are spending more time in hearing and delivering judgments in patent litigations, and patent judgments delivered by IP courts are more likely to go on appeal and varied by higher courts. Furthermore, our study revealed that litigious plaintiffs are to some degree disliked by the courts."
CONSTITUTIONAL SUPERVISION IN CHINA AFTER THE 2018 AMENDMENT OF THE CONSTITUTION: REFINING THE NARRATIVE OF CONSTITUTIONAL SUPREMACY IN A SOCIALIST LEGAL SYSTEM,"After deflecting calls for a constitutional committee for nearly four decades, why did China's leaders decide to create one at a moment when Xi Jinping is presiding over a significant tightening of the country's political-legal environment? This article argues that the recent reforms should be understood as components of a broad constitutional rationalization designed to refine the Party's narrative of constitutional supremacy, strengthen the legal system as an instrument to discipline the bureaucracy, and contain citizen constitutional argument. The reforms demonstrate the Party's confidence that it can reap the legitimacy and governance benefits of building new constitutional supervision infrastructure without incurring material risks that citizens might leverage such infrastructure to challenge Party authority.",Legal analysis,,"Perhaps then, it is appropriate to characterize the creation of the Constitution and Law Committee and corresponding reforms to the filing and review system as efforts to refine the narrative of socialist constitutional supremacy. While the creation of the Committee involves more than simply a name change, China's leaders chose one of the weakest socialist constitutional supervision models, and they did so only after enhancing the constitutional status of the Party and undertaking a campaign to marginalize competing constitutional visions. When the recent reforms are viewed in this context, they demonstrate the Party's confidence that it dominates China to such a degree that it can reap the legitimacy and governance benefits of answering four decades of calls for specialized constitutional supervision infrastructure without incurring material risks of unintended consequences. The Constitution may be important in Xi's China, but as an instrument of central control, not as a tool for rights enforcement. As one scholar remarked in assessing the impact of Poland's constitutional tribunal prior to 1989, the reform presents “the illusion of constitutional legality without challenging [the system's] most fundamental assumptions.”"
"INSIDERS AND THEIR TRADING GAMES IN CHINA: LAW, ENFORCEMENT DATA, AND A PUZZLING QUESTION","We conducted a comprehensive, up-to-date observation of the enforcement of insider trading Jaw in China. Our observation has a twofold goal First, we examine how a key component of modern securities Jaw--insider trading Jaw--is enforced in a rapidly growing economy where both regulators and market participants are relatively lacking in experience and must learn to communicate with one another and establish an effective model of Jaw enforcement. Second, we use this observation as a Jens for understanding how corporate information flows in a concentrated ownership environment. In theory, controlling shareholders can either voluntarily push for corporate information flow to the general public to win investor confidence, or they can trade for their own private benefit with an informational advantage and keep that information private as long as possible and bet that law enforcement does not detect it. Alternatively, company controllers may opt for a third option, which is to tacitly allow corporate managers to trade with undisclosed corporate information as a form of managerial compensation without conducting any insider trading themselves. Which scenario is more likely is unclear, but China's concentrated ownership environment makes it a good setting for testing these possibilities.",Dataset analysis (event study),China Judgments Online,"In this Article, we expanded on the research method from the authors' previous research. We used CAR and the degree of pre-announcement run-up as a proxy for information leakage to measure the effectiveness of insider trading law enforcement in China. We also combined data we collected from previous work and work from other researchers in a multilayer comparison, with which we sought to paint a complete picture of insider trading law, its enforcement, the quality of enforcement, and traders' motivations and behaviors in China.
We originally intended to use insider trading as a lens to observe the behavioral patterns of corporate controllers and the way they use private corporate information. From observing data, enforcement, and comparison group of M&A data combined, it can be ascertained that weak enforcement leads to many instances of pre-announcement information leakage. But whether those information leaks come from controllers or managers and if controllers use it as a form of compensation, as suggested by Manne, cannot be proven with the information at hand.
We have the following closing observation to make. From a normative perspective, our findings suggest that a greater enforcement endeavor is needed to reduce the information asymmetry or expropriation between corporate insiders and the general public, which will, in turn, foster investor confidence. However, enhanced enforcement does not guarantee improvement if the case-selection criteria remain unclear, random, or based on political considerations."
JUDICIAL REVIEW OF DIRECTORS' DUTY OF CARE: A COMPARISON BETWEEN U.S. & CHINA,"Articles 147 and 148 of the Company Law of the People's Republic of China (“Chinese Company Law”) establish that directors owe a duty of care to their companies.1 However, both of these provisions fail to explain the role of judicial review in enforcing this duty. The duty of care is a well-trodden territory in the United States, where directors' liability is predicated on specific standards. The current American standard, adopted by many states, requires directors to “discharge their duties with the care that a person in a like position would reasonably believe appropriate under similar circumstances.”2 However, both the business judgment rule and Section 102(b)(7) of the Delaware General Corporate Law (“DGCL”) shield directors from responsibility for their actions, which may weaken the impact of the duty of care requirement on director behavior.
To better allocate the responsibility for directors' violations of the duty of care and promote the corporations' development, it is essential that Chinese company law establish a unified standard of review governing the duty of care owed by directors *598 to companies. The majority of Chinese legal scholars agreed that a combination of subjective and objective standards would function best.3 Questions remain regarding how to combine such standards and implement them. In order to promote the development of China's duty of care, these controversial issues need to be solved. This Article argues that China's Company Law should hold a first-time violator of the duty of care liable only in cases of gross negligence but hold directors liable in the cases of ordinary negligence if they have violated the duty of care in the past.",Legal analysis,,"Most of the corporate laws of common law systems and civil law systems countries set up the concept of duty of care. The application of the duty of care in various countries can allow countries and corporations to learn from each other, which is conducive to the development of corporate law itself. America's dichotomy of the standard of conduct and standard of review and gross negligence standards weakens the importance of duty of care. The U.S. should pay attention to the possible consequences of this issue and therefore change how academic scholars and practitioners only focus on the duty of loyalty and ignore the duty of care. The improvement measures that the U.S. may take include, but are not limited to, narrowing the gap between MBCA 8.30 and 8.31. The experience of the U.S. provides valuable governance principles for the establishment of China's duty of care standard. Chinese courts can choose which standard to adopt according to whether the director has a violation record or not. Unified standards will make the trial results of different cases more coherent and consistent and reduce the appeal rate to a certain extent. In addition, more discretion should be given to judges in judicial practice, and more detailed case analyses should be encouraged."
THE TEMPORALITY OF LAW IN TRADITIONAL CHINA AND ITS CONTEMPORARY IMPLICATIONS,"Temporality of law is of great significance in traditional Chinese juridico-political thought, and its influence plays a crucial role in China's state building and governance. The existing temporal phrases from the West are not sufficient for explaining the symbol-oriented legal system in traditional China. Formalist law overlooks the temporal elements intrinsic to the legal system and results in the failure of governance. This Article applies a historical culture paradigm to analyze the temporality of law in traditional China by using plurality, sociality, and rhetoric as indicators to demonstrate the contestation of temporal categories in penality, socialization of seasonal time, and the transcending moral discourse in law, as well as by examining the temporal relevance in the classical textual and cultural context of traditional China. The Article further shows that the intertemporal dynamism in law facilitated the formation of a unified and stable system of order over China's long imperial period. The intertemporality in traditional Chinese law still exerts huge influence on legal governance in contemporary China.",Legal analysis (law and philosophy),,"The temporality of law in traditional China must be explored at the level of the philosophical and cosmological concepts of the nature and purpose of order in the universe. Differentiated temporal frameworks in law can be deduced from references to traditional classics of major ancient schools of thought. It is reasonable to maintain that temporality is an important dimension for law to have a desirable effect in traditional China. Overlooking law's temporality will lead to static governance that causes damage to any sovereignty. Using the historical culture paradigm, one can broaden the approach to understanding and interpreting Chinese legal development."
THE DECLINE AND RESURGENCE OF PEOPLE'S MEDIATION IN CHINA: AN EMPIRICAL ANALYSIS OF CHINESE PROVINCES,"In this paper, we employ 32 years (1985-2016) of province-level data from China to test a variety of factors thought to influence the development of people's mediation rates. Results suggest that legislative reforms, numbers of underlying disputes, economic development, and demographic shifts are related to people's mediation rates. Notably, we do not find evidence of a substitution effect of litigation for people's mediation - a commonly cited reason for the decline of people's mediation in the 1990s and early 2000s. To our knowledge, we are the first to conduct such empirical tests.",Dataset analysis (regression),China Statistical Yearbooks,"The decline and resurgence of people's mediation in China is well documented, yet until now, proposed explanations for people's mediation trends have not been tested. In the current analysis, we review theories of mediation development and utilize 32 years of province-level people's mediation rate data to test those theories.
Perhaps the most cited explanation for the decline of people's mediation rates from 1990 to the mid-2000s is China's turn toward litigation. From 1990 to 2004, the number of civil lawsuits rose by nearly 34 percent, while the number of people's mediation claims fell by over 40 percent.97 Nevertheless, in examining a wider time interval from 1985 to 2016, we find that annual litigation and mediation claims moved in the same direction more often than in opposite directions.
In an empirical analysis of people's mediation rates, we do not find evidence of a substitution effect of litigation for mediation. This result holds regardless of whether one examines the period of mediation decline or our entire study period. Instead, we observe that declining people's mediation rates are associated with rising levels of educational attainment and urbanization as well as changes in economic output and composition across economic sectors. Highly educated, urban individuals likely derive fewer benefits from people's mediation, while structural changes in the Chinese economy may yield more complicated disputes that are less suitable to people's mediation."
TRANSPLANTING ANTI-SUIT INJUNCTIONS,"When adjudicating high-value cases involving the licensing of patents covering industry standards such as Wi-Fi and 5G (standards-essential patents or SEPs), courts around the world have increasingly issued injunctions preventing one party from pursuing parallel litigation in another jurisdiction (anti-suit injunctions or ASIs). In response, courts in other jurisdictions have begun to issue anti-anti-suit injunctions, or even anti-anti-anti suit injunctions, to prevent parties from hindering the proceedings in those courts. Most of these activities have been limited to the United States and Europe, but in 2020 China emerged as a powerful new source of ASIs in global SEP litigation. The comparative law literature uses the notion of legal transplant to describe the introduction of a foreign legal concept, rule, or procedure. Taking the view that the emergence of ASIs in China represents a new form of transplant from Western legal systems, this Article analyzes the transplantation of this procedural mechanism to China. This recent development can be viewed as both surprising, given China's civil law tradition, and predictable, considering the country's prominence in global technology markets. Equally predictable have been the strong reactions of foreign courts and policymakers to China's use of this mechanism, which has now proceeded at a pace that outstrips that of any other country. This Article traces the emergence of ASIs in China by examining how the Chinese legal system has adapted a procedural mechanism that has been repeatedly used in the United States and other jurisdictions. The Article further elucidates the internal and external forces that led to the mechanism's rapid adoption in China. It sheds new light on the process of legal transplantation in the twenty-first century as well as its global ramifications.",Legal analysis,,"This Article concludes by calling for a renewed emphasis on international comity. Such an emphasis will be important not only for reducing international jurisdictional battles in global FRAND litigation and other contexts, but also for minimizing the complications and unintended consequences caused by proactive legal transplants. The principle of international comity also reflects a widely settled international consensus. Thanks to legal transplants, Chinese courts have now joined U.S. courts in considering the impact on international comity before issuing an ASI, AASI, or AAASI."
AGILITY OVER STABILITY: CHINA'S GREAT REVERSAL IN REGULATING THE PLATFORM ECONOMY,"This Article develops the five-element HAPPY model to study Chinese regulation: the regulatory process is hierarchical, the top leadership is adaptable, the Chinese regulators are parochial, the firms are pliant and the Chinese public need to yelp to be heard. By focusing on China's great reversal in regulating the platform economy, I show that Chinese policy volatilities have stemmed from the hierarchical structure in which power is centralized among top leaders, who also suffer from a chronic deficit of information. I particularly highlight how favorable support from the top leadership, aggressive lobbying from tech firms, and the bureaucratic inertia of the regulators together contributed to a lag in regulating Chinese online platforms. When a crisis looms, the top leadership quickly mobilizes all administrative resources and propaganda to initiate a law enforcement campaign against tech giants. However, without strong judicial oversight, aggressive agency interventions create the risk of over-enforcement and administrative abuse. Thus far, China's reorientation of its policy control has significantly bolstered its regulatory capacity across various fronts including financial, antitrust, and data regulation. By exerting greater oversight over platform governance, the government has enhanced the bargaining power of the various platform participants in dealing with the platforms. The government's heavy-handed approach has also afforded it great leverage to nudge tech firms to prioritize developing cutting-edge technologies, and to steer them away from foreign stock markets, thus reducing reliance on the West for both technologies and capital. Despite the campaign's immediate impact, it remains to be seen whether it will bring about lasting changes, especially in light of the persistent lobbying from tech firms and the risk of regulatory capture. At the same time, the volatile policy swing has itself generated risks and uncertainties, which in turn could cause turmoil to domestic social and financial stability. As the rest of the world is similarly confronted with thorny questions about how to rein in Big Tech, China's experience with platform regulation could offer some lessons that inform the global policy debate. Although this Article focuses primarily on the platform economy, the HAPPY model has the promise to shed light on the complexity and dynamics in other areas of regulatory governance in China and beyond.",Legal analysis,,"In this article, I develop the HAPPY model containing five essential elements to study Chinese regulation: the regulatory process is hierarchical, the top leadership is adaptable, the Chinese regulators are parochial, the firms are pliant, and the Chinese public need to yelp to be heard. By focusing on China's great reversal in regulating the platform economy, I show that policy volatilities have stemmed from the hierarchical regulatory structure in which power is centralized among top leaders, who also suffer from a chronic deficit of information. I particularly highlight how favorable support from top leadership, aggressive lobbying from tech firms, and the bureaucratic inertia of the regulators together contributed to a lag in regulating Chinese online platforms. As platforms gain pervasive influence, public dissatisfaction grows. The aggressive regulatory arbitrage sought by the platforms jeopardized the bureaucratic interests of Chinese financial regulators, who stepped out to voice public dissent and reported the matter to the top leaders. As soon as they became informed, top leaders quickly mobilized all administrative resources to initiate a massive enforcement campaign against Chinese tech firms. Chinese tech firms swiftly adapted to the regulatory demands of agencies and adhered to the top leadership's new policy initiatives."
HAS CHINA'S LABOR CONTRACT LAW CURTAILED ECONOMIC GROWTH?,"As China reformed its economy during the past forty-four years, it experienced the fastest sustained expansion by a major economy in history with an annual rate of gross domestic product (GDP) growth averaging nearly 10% from 1978 to 2018. In the past decade, however, the rate of growth has noticeably slowed, falling to just under 7% in 2018, the year before the COVID-19 pandemic began. Though many nations might consider GDP growth over 6% admirable, in China it has sparked a debate about the causes of the slowdown. One suspect is China's 2008 Labor Contract Law (LCL), which provides workers with certain rights against firings and other adverse employment actions. Critics of the law claim its provisions threaten to stifle the Chinese economy by unduly restricting employers' ability to terminate unproductive workers and adjust their workforce to changing economic conditions. In the past, the Chinese government strongly supported the LCL. The issue today is whether that support should continue.
This Article provides the first detailed comparative study of the LCL and reveals that Chinese law imposes constraints no more restrictive than the average among Organisation for Economic Co-operation and Development (OECD) countries. This Article also challenges the contention that provisions of the LCL have caused slower growth and adversely affected Chinese labor markets. Theoretical models generate only ambiguous and inconsistent predictions concerning the effects of employment protections on labor market performance. And the available empirical evidence likewise fails to show any consistent pattern of adverse effects associated with employment protection laws. We argue that this economic literature casts considerable doubt on the causal claim that Chinese labor law has reduced the country's growth rate or depressed employment. Limited coverage and under enforcement further diminish the likelihood that China's labor regulations have harmed the economy. Thus, the Chinese government should look skeptically on claims that reducing the employment protections in the LCL will reignite economic growth.",Legal analysis,,"We conclude, therefore, where we began by expressing profound skepticism that reforming the LCL will reignite economic growth in China. This story has been told in many places and at many times before. Despite their superficial plausibility, claims about reform ignore reality. From a global perspective, the LCL is not unusually stringent. The law has never been vigorously enforced. And the available empirical evidence casts doubt on the idea that increasing labor flexibility will spur employment and growth. A more defensible stance towards the LCL would invite input from scholars and stakeholders about how to ease compliance and streamline enforcement of the law's provisions."
RETHINKING THE GLOBAL GOVERNANCE OF MIGRANT DOMESTIC WORKERS: THE HETERODOX CASE OF INFORMAL FILIPINA WORKERS IN CHINA,"This Article uses an interview-based case study to challenge the conventional wisdom in international labor law that formality--including formal contracts and special migration programs--always produces better jobs for transnational migrant workers than informality. Interviews with informal Filipina domestic workers in China--often visa overstayers working outside any legally recognized labor migration program--revealed that, despite working without formal status, they earned higher wages and enjoyed more favorable working conditions relative to other Asian labor markets for migrant domestic workers. National regimes of immigration law, which shape the negotiation, formation, and enforcement of the labor contract between the foreign worker and the domestic employer, explain this paradox. Typical labor migration programs (e.g., Singapore's) tie the worker's immigration status to a specific labor contract, the breach of which results in prompt deportation. In contrast, such connections between workplace strategies and immigration law measures are more uncertain and leave more room for *964 parties to negotiate in the informal Chinese market. These contingencies between immigration law enforcement and job status paradoxically enable workers to renegotiate both the employer and the structure of their jobs after arrival, which significantly enhances their bargaining power inside and outside the workplace household. This Article conducts a cross-jurisdiction comparison between a formal program in Singapore and the informal market in China and makes a compelling argument for using a comparative-bargaining-power framework to evaluate how contracts and background rules distribute power and risk among parties in the global care chain. This approach joins the emerging scholarly critiques of the International Labor Organization's almost exclusive focus on formalization to advance migrant workers' conditions.",Field work,,"How shall we interpret this heterodox case of informal labor migration in the context of global labor governance?
I am by no means arguing that this case study informs the debate as a “good practice” example that can or should be replicated across other jurisdictions. Living undocumented in China can be cruel and precarious. The workers must make a tradeoff between losing the job opportunities in this jurisdiction and not being able to return to their home country for years. The prosperous informal market is contingent on the Chinese government's lenient attitude towards enforcement. The whole industry of migrant labor, informal or formal, has become more unpredictable than ever due to the global COVID-19 pandemic, and the scale of labor emigration from the Philippines in general has shrunk for the first time in the past decade. The fear of contracting the virus drives both the sending and receiving countries to be more xenophobic than usual, which put the migrants and returning migrants at unprecedented risk.
Instead, the local reverse of the formal/informal hierarchy challenges the entrenched presumption in international labor law that informal work is always worse than its formal counterpart. It shows that both informal and formal regimes can produce different packages of benefits and risks and rules working in favor of or against the workers. A considerable number of workers, with varying levels of knowledge and options, prefer the compromises in an informal system when the alternative formal system works significantly to their disadvantage. This is not an attempt to reverse the dichotomy or a naive celebration of the informal. Instead, I urge international labor law scholars and practitioners to look beyond legality into concrete distributional rules in a case-by-case manner. This approach necessitates understanding the informal economy from within and from the workers' perspectives. This more contextualized approach better aligns the pro-labor agenda with the needs of various worker groups.
I further propose that bargaining power is a more meaningful framework to analyze, evaluate, and compare specific regimes, and to lead prospective labor reforms. Bargaining power can be measured in quantifiable metrics such as incomes and working conditions. More importantly, the bargaining power framework attends to the workers' control over the work-related relationships that both formal and informal rules enable. The workers' control over their work and life is especially salient for domestic workers, whose employment relations inside the household workplace emerge out of a tradition of subordination and servitude, and their personal life often gets subsumed into this employment relationship. Given the intimate nature of the work, intrusion and subordination can happen in numerous subtle forms beyond what domestic and international law can possibly regulate. Thus, transforming the asymmetrical bargaining power structure itself has a more fundamental impact than prohibiting its specific manifestations.
In addition, this case raises a local critique to the status quo formal regime of labor migration, especially for migrant domestic workers. Studying the counterexample of an informal market reveals the paradoxical role of the law, particularly the interplay between contracts and immigration law, in entrenching the asymmetrical power structure between migrant domestic workers and employers in the formal regime. By quickly turning to a formalization agenda, the ILO has failed to sufficiently challenge the limitations within these formal arrangements."
"SPECIAL COURTS, GLOBAL CHINA","This Article analyzes China's turn to specialized courts as a case study on how China's global ambitions are shaping its domestic law reforms. It argues that the country's rapid construction of more technocratic special courts in areas such as cyberspace and global commerce is best understood as a product of certain political benefits associated with judicial specialization. These include several internal-facing benefits often cited in China law scholarship: reducing agency problems posed by local actors, for example, or minimizing political risk. But they also include newer benefits keyed to a number of grand strategic priorities. What the evidence makes clearest, in fact, is that China's planners see specialized courts as a means of accelerating a limited set of professional reforms to further the party-state's developmental, technological, and geopolitical goals. Far from a precursor to liberalization, professional specialization is now being marshaled in an effort to service China's global strategies.",Legal analysis,,"The case of special courts illustrates some of the emerging themes: growing professionalism and capacity in key areas, increasing centralization of strategy, and continued tensions between the two.
China's pursuit of professional special courts likely would not have occurred but for the ascendant priorities that inspired them. Each court has been rooted, rhetorically and practically, in Xi-era national strategies, and each was approved by the Party's leading Xi-chaired reform commission. Central leaders were the ones who sent out signals on the primacy of innovation, standard setting, and BRI, and who ultimately endorsed a judicial reform program stressing professional specialization as a “guarantee” for these aims. The speed at which these courts have been constructed suggests that they are more than an idiosyncratic trend or a minor concession to pragmatic court leaders--instead, they are best understood as concerted national strategy.
The seeming compatibility of at least some professional virtues with Party rule and Party aspirations may give pause to those who have sought legal reform in China as a path to political liberalization or a democratic peace. While sophisticated Western advocates of Chinese law reform in the 1980s and 1990s were not avowedly pursuing a project of democratization through law, a great many Western politicians and civil society leaders believed that economic-law reforms would, once adopted, “take on a life of their own” and induce political change. In the words of one State Department official: “Once the Chinese open the door to legal reform, they won't be able to control it.” But as others cautioned as early as 2000, the Chinese government might very well be able to introduce “extensive legal and judicial reform in certain areas” and at the same time “maintain close control over politically sensitive issues.” This Article shows how judicial specialization can play a leading role in driving and maintaining this duality."
